Originating Airport,Org Airport Code,Destination Airport,Dest Airport Code,Distance (mi),Aircraft
Detroit,KDTW,Chicago,KORD,228,B737
Chicago,KORD,Denver,KDEN,888,A320
Detroit,KDTW,Denver,KDEN,1124,A321
Chicago,KORD,Los Angeles,KLAX,1744,B757
Denver,KDEN,Los Angeles,KLAX,862,A320
Detroit,KDTW,Atlanta,KATL,594,B737
Atlanta,KATL,Miami,KMIA,595,A320
Atlanta,KATL,Denver,KDEN,1199,B757
Chicago,KORD,Atlanta,KATL,606,A321
Denver,KDEN,Seattle,KSEA,1024,B737
Los Angeles,KLAX,Seattle,KSEA,954,A320
Seattle,KSEA,San Francisco,KSFO,679,B737
Los Angeles,KLAX,San Francisco,KSFO,337,A321
Detroit,KDTW,Minneapolis,KMSP,528,A320
Minneapolis,KMSP,Denver,KDEN,680,B737
Atlanta,KATL,Chicago,KORD,606,A321
Denver,KDEN,Chicago,KORD,888,B737
Los Angeles,KLAX,Chicago,KORD,1744,B757
Seattle,KSEA,Denver,KDEN,1024,B737
San Francisco,KSFO,Los Angeles,KLAX,337,A321
Minneapolis,KMSP,Chicago,KORD,334,A320
Chicago,KORD,Minneapolis,KMSP,334,A320
Detroit,KDTW,Los Angeles,KLAX,1979,A321
Atlanta,KATL,Los Angeles,KLAX,1946,B757
Miami,KMIA,Atlanta,KATL,595,A320
Seattle,KSEA,Los Angeles,KLAX,954,A320
San Francisco,KSFO,Seattle,KSEA,679,B737
Denver,KDEN,Minneapolis,KMSP,680,B737
Minneapolis,KMSP,Detroit,KDTW,528,A320
Chicago,KORD,Detroit,KDTW,228,A320
Los Angeles,KLAX,Denver,KDEN,862,A320
San Francisco,KSFO,Denver,KDEN,967,A320
Atlanta,KATL,Detroit,KDTW,594,B737
Miami,KMIA,Chicago,KORD,1197,A321
Chicago,KORD,Miami,KMIA,1197,A321
Denver,KDEN,Atlanta,KATL,1199,B757
Seattle,KSEA,Chicago,KORD,1721,B737
San Francisco,KSFO,Chicago,KORD,1846,A321
